Model,Dataset,Kind of input,Steps ahead predicted,Test MMRE,MONETÁRIO?,AUTOCOVARIÂNCIA
VAR,Amazon Stock Price,Grouped into boxplots,1,0.1132,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,Amazon Stock Price,Grouped into boxplots,5,0.2038,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,Amazon Stock Price,Grouped into boxplots,20,0.4834,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,Beijing PM2.5 Air Pollution,Grouped into boxplots,1,0.6627,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
VAR,Beijing PM2.5 Air Pollution,Grouped into boxplots,5,0.6929,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
VAR,Beijing PM2.5 Air Pollution,Grouped into boxplots,20,0.6793,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
VAR,NSW Australia Electricity Demand,Grouped into boxplots,1,0.0653,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
VAR,NSW Australia Electricity Demand,Grouped into boxplots,5,0.0708,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
VAR,NSW Australia Electricity Demand,Grouped into boxplots,20,0.0747,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
VAR,Household Energy Data,Grouped into boxplots,1,0.7088,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
VAR,Household Energy Data,Grouped into boxplots,5,0.7238,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
VAR,Household Energy Data,Grouped into boxplots,20,0.7233,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
VAR,EUR/USD,Grouped into boxplots,1,0.0248,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,EUR/USD,Grouped into boxplots,5,0.0246,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,EUR/USD,Grouped into boxplots,20,0.0255,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,BRL/USD,Grouped into boxplots,1,0.1603,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,BRL/USD,Grouped into boxplots,5,0.1628,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,BRL/USD,Grouped into boxplots,20,0.1654,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,USD/JPY,Grouped into boxplots,1,0.0299,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,USD/JPY,Grouped into boxplots,5,0.0295,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,USD/JPY,Grouped into boxplots,20,0.0305,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,Bitcoin,Grouped into boxplots,1,1.97,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,Bitcoin,Grouped into boxplots,5,0.9295,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,Bitcoin,Grouped into boxplots,20,0.5749,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,GBP/USD,Grouped into boxplots,1,0.0268,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,GBP/USD,Grouped into boxplots,5,0.0275,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,GBP/USD,Grouped into boxplots,20,0.0261,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,USD/CHF,Grouped into boxplots,1,0.0135,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,USD/CHF,Grouped into boxplots,5,0.0169,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
VAR,USD/CHF,Grouped into boxplots,20,0.0149,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Amazon Stock Price,Raw series,1,0.0236,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Amazon Stock Price,Raw series,5,0.0418,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Amazon Stock Price,Raw series,20,0.0795,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Amazon Stock Price,Grouped into boxplots,1,0.1085,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Amazon Stock Price,Grouped into boxplots,5,0.2212,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Amazon Stock Price,Grouped into boxplots,20,0.6333,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Beijing PM2.5 Air Pollution,Raw series,1,0.2667,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Beijing PM2.5 Air Pollution,Raw series,5,0.4324,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Beijing PM2.5 Air Pollution,Raw series,20,0.5663,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Beijing PM2.5 Air Pollution,Grouped into boxplots,1,0.6487,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Beijing PM2.5 Air Pollution,Grouped into boxplots,5,0.5991,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Beijing PM2.5 Air Pollution,Grouped into boxplots,20,0.62,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,NSW Australia Electricity Demand,Raw series,1,0.0098,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
ARIMA,NSW Australia Electricity Demand,Raw series,5,0.0226,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
ARIMA,NSW Australia Electricity Demand,Raw series,20,0.0823,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
ARIMA,NSW Australia Electricity Demand,Grouped into boxplots,1,0.0667,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
ARIMA,NSW Australia Electricity Demand,Grouped into boxplots,5,0.0624,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
ARIMA,NSW Australia Electricity Demand,Grouped into boxplots,20,0.077,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
ARIMA,Household Energy Data,Raw series,1,0.3854,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Household Energy Data,Raw series,5,0.6327,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Household Energy Data,Raw series,20,0.6542,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Household Energy Data,Grouped into boxplots,1,0.7134,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Household Energy Data,Grouped into boxplots,5,0.7078,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,Household Energy Data,Grouped into boxplots,20,0.7076,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
ARIMA,EUR/USD,Raw series,1,0.0843,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,EUR/USD,Raw series,5,0.0812,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,EUR/USD,Raw series,20,0.0882,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,EUR/USD,Grouped into boxplots,1,0.0241,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,EUR/USD,Grouped into boxplots,5,0.0238,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,EUR/USD,Grouped into boxplots,20,0.0248,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,BRL/USD,Raw series,1,1.4971,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,BRL/USD,Raw series,5,1.0257,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,BRL/USD,Raw series,20,1.0352,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,BRL/USD,Grouped into boxplots,1,0.139,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,BRL/USD,Grouped into boxplots,5,0.1254,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,BRL/USD,Grouped into boxplots,20,0.1202,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/JPY,Raw series,1,0.0985,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/JPY,Raw series,5,0.0921,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/JPY,Raw series,20,0.1036,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/JPY,Grouped into boxplots,1,0.0266,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/JPY,Grouped into boxplots,5,0.0282,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/JPY,Grouped into boxplots,20,0.0538,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Bitcoin,Raw series,1,0.9573,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Bitcoin,Raw series,5,2.5642,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Bitcoin,Raw series,20,1.0228,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Bitcoin,Grouped into boxplots,1,0.3455,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Bitcoin,Grouped into boxplots,5,0.4231,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,Bitcoin,Grouped into boxplots,20,0.5211,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,GBP/USD,Raw series,1,0.0941,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,GBP/USD,Raw series,5,0.0888,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,GBP/USD,Raw series,20,0.0947,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,GBP/USD,Grouped into boxplots,1,0.0244,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,GBP/USD,Grouped into boxplots,5,0.0248,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,GBP/USD,Grouped into boxplots,20,0.0234,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/CHF,Raw series,1,0.0346,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/CHF,Raw series,5,0.0347,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/CHF,Raw series,20,0.0355,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/CHF,Grouped into boxplots,1,0.0149,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/CHF,Grouped into boxplots,5,0.0139,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
ARIMA,USD/CHF,Grouped into boxplots,20,0.0133,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Amazon Stock Price,Raw series,1,1.6604,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Amazon Stock Price,Raw series,5,3.4503,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Amazon Stock Price,Raw series,20,2.1086,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Amazon Stock Price,Grouped into boxplots,1,5.3651,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Amazon Stock Price,Grouped into boxplots,5,26.9515,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Amazon Stock Price,Grouped into boxplots,20,11.419,NÃO É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Beijing PM2.5 Air Pollution,Raw series,1,2.9841,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Beijing PM2.5 Air Pollution,Raw series,5,0.7555,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Beijing PM2.5 Air Pollution,Raw series,20,0.8308,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Beijing PM2.5 Air Pollution,Grouped into boxplots,1,0.8571,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Beijing PM2.5 Air Pollution,Grouped into boxplots,5,0.9022,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Beijing PM2.5 Air Pollution,Grouped into boxplots,20,0.7157,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,NSW Australia Electricity Demand,Raw series,1,0.1829,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Raw series,5,0.1003,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Raw series,20,0.1553,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Grouped into boxplots,1,0.3509,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Grouped into boxplots,5,0.4281,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Grouped into boxplots,20,0.3561,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,Household Energy Data,Raw series,1,0.5477,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Raw series,5,0.3917,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Raw series,20,2.8914,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Grouped into boxplots,1,0.7166,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Grouped into boxplots,5,1.0352,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Grouped into boxplots,20,0.646,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,EUR/USD,Raw series,1,0.2855,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Raw series,5,0.0486,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Raw series,20,0.1455,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Grouped into boxplots,1,0.1841,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Grouped into boxplots,5,0.2204,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Grouped into boxplots,20,0.2405,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Raw series,1,0.1956,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Raw series,5,0.3694,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Raw series,20,0.0153,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Grouped into boxplots,1,0.2302,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
