win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,w2,w3,w4,h4,score
106,37,25,5,sigmoid,26,max,15,2,swish,21,relu,adadelta,mean_absolute_percentage_error,82,3,2,1,0.9731434928273885
185,48,48,2,sigmoid,25,max,14,2,linear,217,elu,adadelta,mean_squared_logarithmic_error,138,5,4,4,0.8555257352557888
225,32,46,4,sigmoid,64,average,13,1,relu,48,swish,adadelta,mean_squared_error,180,2,2,2,0.9595762109239163
169,35,53,4,tanh,25,max,11,3,elu,7,relu,adam,mean_squared_logarithmic_error,117,4,2,2,0.5612816883015962
521,26,159,2,sigmoid,96,average,11,2,tanh,11,relu,adadelta,mean_squared_error,363,3,2,4,0.9914825631893786
584,28,143,3,swish,210,average,11,1,linear,19,linear,adagrad,mean_absolute_error,442,2,2,3,0.6465341811533875
147,33,41,3,linear,39,average,14,1,linear,80,swish,adagrad,mean_squared_logarithmic_error,107,2,2,3,0.6950998171618304
217,15,68,5,tanh,18,average,6,5,linear,23,relu,adadelta,mean_squared_error,150,8,4,1,0.9560229384838242
502,12,135,2,linear,139,average,6,1,elu,16,sigmoid,adadelta,mean_absolute_error,368,2,2,4,0.9275752033673387
647,49,183,3,sigmoid,132,max,17,1,sigmoid,24,elu,adagrad,mean_squared_error,465,3,3,3,0.6791869084593084
761,18,186,1,relu,134,max,6,1,swish,64,sigmoid,sgd,mean_squared_error,576,4,4,5,0.7622161450930239
790,40,258,1,relu,265,max,20,1,elu,137,tanh,adam,mean_squared_logarithmic_error,533,2,2,5,0.5450634835232291
360,40,98,4,swish,3,max,10,27,elu,453,linear,adam,mean_absolute_error,263,87,61,2,1.236930606784756
366,40,99,4,tanh,4,max,20,22,elu,598,tanh,adam,mean_squared_logarithmic_error,268,67,46,2,0.8891379101029324
360,41,97,1,elu,70,max,20,2,elu,136,tanh,adam,mean_squared_logarithmic_error,264,3,2,5,0.6848855600480616
785,24,258,1,relu,238,max,7,1,elu,5,tanh,rmsprop,mean_squared_logarithmic_error,528,2,2,5,0.6369576246049264
770,43,255,1,elu,239,max,21,1,elu,133,tanh,rmsprop,mean_squared_logarithmic_error,516,2,2,5,0.6307429886033545
649,45,205,4,relu,179,max,17,1,tanh,36,tanh,adam,mean_absolute_percentage_error,445,2,2,2,0.6072706762452191
655,35,210,4,tanh,178,max,9,1,relu,5,relu,adam,mean_absolute_percentage_error,446,2,2,2,0.49623493891049625
428,37,111,2,tanh,97,max,9,2,relu,34,relu,adam,mean_squared_logarithmic_error,318,3,2,4,0.6457987237376528
687,22,225,3,relu,171,max,8,1,relu,30,relu,sgd,mean_absolute_percentage_error,463,2,2,3,0.9988450300431192
678,29,222,5,relu,172,max,8,1,relu,5,linear,sgd,mean_absolute_percentage_error,457,2,2,1,782.9839667898433
721,35,226,5,tanh,187,max,9,1,sigmoid,5,relu,adam,mean_absolute_percentage_error,496,2,2,1,0.7961326915131416
280,36,73,4,tanh,47,max,12,3,sigmoid,10,relu,adam,mean_absolute_percentage_error,208,4,2,2,0.7417690378704312
579,36,166,4,tanh,156,max,12,1,elu,11,relu,adam,mean_squared_logarithmic_error,414,2,2,2,0.5340348758572251
616,31,171,4,tanh,204,max,10,1,elu,10,relu,adam,mean_squared_logarithmic_error,446,2,2,2,0.6869529740273914
587,45,164,4,tanh,150,max,17,1,relu,15,elu,adam,mean_squared_logarithmic_error,424,2,2,2,0.526729917400277
558,46,157,3,tanh,153,max,16,1,relu,53,sigmoid,adam,mean_squared_logarithmic_error,402,2,2,3,0.6202375192911046
536,45,146,5,tanh,150,max,16,1,relu,14,elu,adam,mean_absolute_percentage_error,391,2,2,1,0.606818718472654
470,44,125,5,tanh,116,max,13,1,relu,13,elu,rmsprop,mean_absolute_percentage_error,346,2,2,1,0.6109937212381609
467,42,125,5,tanh,114,max,18,1,swish,15,elu,rmsprop,mean_absolute_percentage_error,343,3,3,1,0.5952491444185434
588,50,166,4,tanh,162,max,24,1,swish,27,elu,adam,mean_absolute_error,423,2,2,2,1.032980643159015
599,39,165,4,linear,163,max,18,1,relu,28,swish,adam,mean_squared_logarithmic_error,435,2,2,2,0.8310049335931601
716,39,201,3,elu,204,max,14,1,relu,40,swish,adam,mean_squared_logarithmic_error,516,2,2,3,0.5532228115147263
733,38,240,3,elu,212,max,14,1,tanh,20,tanh,adam,mean_squared_logarithmic_error,494,2,2,3,0.5402082853631577
732,33,236,4,relu,227,max,12,1,tanh,8,relu,adam,mean_squared_logarithmic_error,497,2,2,2,0.81872538204706
638,34,177,3,elu,189,max,13,1,tanh,20,relu,adam,mean_squared_logarithmic_error,462,2,2,3,0.7775955286264581
640,47,178,3,elu,182,average,13,1,tanh,19,elu,adagrad,mean_squared_logarithmic_error,463,2,2,3,0.7415312176531538
683,37,195,4,swish,194,average,15,1,tanh,17,elu,adagrad,mean_squared_logarithmic_error,489,2,2,2,0.6364143814626168
685,30,191,4,swish,213,average,12,1,tanh,17,relu,adadelta,mean_squared_logarithmic_error,495,2,2,2,0.981811688246275
555,30,153,3,sigmoid,151,max,12,1,linear,22,linear,adadelta,mean_squared_error,403,2,2,3,0.9295397337487158
546,37,151,2,sigmoid,145,max,11,1,linear,22,linear,adam,mean_squared_error,396,2,2,4,0.6980137321191853
749,38,246,2,elu,252,max,17,1,elu,94,tanh,adam,mean_squared_logarithmic_error,504,2,2,4,0.519062687637491
791,38,247,2,elu,263,max,15,1,elu,66,tanh,adam,mean_squared_logarithmic_error,545,2,2,4,0.6491128963230942
746,27,214,3,elu,251,max,10,1,relu,12,tanh,adam,mean_absolute_error,533,2,2,3,0.8352803027246085
725,38,238,2,elu,222,max,15,1,elu,82,tanh,adam,mean_squared_logarithmic_error,488,2,2,4,0.5679238814695821
714,33,231,2,elu,222,max,14,1,elu,94,tanh,sgd,mean_squared_logarithmic_error,484,2,2,4,0.6415741013142958
