win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,w2,w3,w4,h4,score
160,20,51,1,linear,15,average,8,6,tanh,8,tanh,adam,mean_absolute_error,110,7,2,5,0.5718873271026159
192,22,49,1,elu,16,max,9,2,linear,177,relu,adagrad,mean_squared_logarithmic_error,144,9,8,5,0.7840043753667852
297,24,86,2,sigmoid,35,max,7,1,linear,136,elu,adagrad,mean_squared_error,212,6,6,4,0.7854976839213185
225,43,64,2,swish,13,max,20,4,relu,310,elu,rmsprop,mean_absolute_percentage_error,162,12,9,4,0.4825635612615966
379,31,101,2,elu,102,average,9,1,linear,65,linear,adagrad,mean_absolute_error,279,2,2,4,0.6467871428088351
786,28,211,4,sigmoid,131,average,11,2,tanh,17,linear,rmsprop,mean_absolute_error,576,4,3,2,0.6335733002021889
184,32,52,2,linear,25,max,13,2,linear,124,swish,rmsprop,mean_squared_logarithmic_error,133,5,4,4,0.5680902717625586
428,35,132,1,linear,77,average,17,1,tanh,245,sigmoid,rmsprop,mean_absolute_percentage_error,297,3,3,5,0.6096576810976854
129,13,40,4,tanh,45,average,6,1,linear,5,elu,adam,mean_absolute_error,90,2,2,2,0.6190975701245572
572,29,167,5,elu,191,average,9,1,linear,9,linear,sgd,mean_squared_logarithmic_error,406,2,2,1,0.7798835005479603
574,48,167,3,swish,151,max,23,1,relu,50,elu,adadelta,mean_absolute_percentage_error,408,2,2,3,0.9749739732894241
269,41,64,2,relu,9,max,15,15,relu,389,swish,rmsprop,mean_squared_logarithmic_error,206,22,8,4,0.6692454305225187
281,39,67,3,swish,27,max,19,4,swish,223,swish,rmsprop,mean_absolute_percentage_error,215,7,4,3,0.6006866930129986
118,50,23,2,swish,2,max,23,45,elu,311,swish,rmsprop,mean_squared_error,96,48,4,4,0.7988786799930164
526,44,131,3,linear,70,max,13,3,sigmoid,50,relu,sgd,mean_squared_logarithmic_error,396,5,3,3,0.6851033865150642
231,36,56,2,tanh,28,max,12,4,relu,95,tanh,adadelta,mean_absolute_percentage_error,176,6,3,4,0.9694388125338151
354,45,81,4,relu,51,max,20,3,sigmoid,30,sigmoid,rmsprop,mean_absolute_percentage_error,274,5,3,2,0.8568557296192548
699,35,230,1,swish,229,max,14,1,elu,92,swish,rmsprop,mean_squared_logarithmic_error,470,2,2,5,0.4691456279853596
737,41,238,1,swish,250,max,16,1,elu,100,elu,rmsprop,mean_squared_error,500,2,2,5,0.8568048253588932
671,37,195,1,swish,197,max,14,1,elu,83,swish,adam,mean_squared_logarithmic_error,477,2,2,5,0.6600455679874363
493,43,129,1,swish,105,max,18,1,swish,177,elu,adadelta,mean_absolute_percentage_error,365,3,3,5,0.977421806162845
623,32,150,2,linear,167,max,13,1,relu,66,swish,rmsprop,mean_squared_logarithmic_error,474,2,2,4,0.6031887281832241
